Row	Lahtvee2017_REF	Lahtvee2017_EtOH20	Lahtvee2017_EtOH40	Lahtvee2017_EtOH60	Lahtvee2017_Osmo02	Lahtvee2017_Osmo04	Lahtvee2017_Osmo06	Lahtvee2017_Temp33	Lahtvee2017_Temp36	Lahtvee2017_Temp38	Yu2020_Clim	Yu2020_CN30	Yu2020_CN50	Yu2020_CN115	DiBartolomeo2020_Gluc	DiBartolomeo2020_Etoh	Yu2021_N30_005	Yu2021_std_010	Yu2021_N30_010	Yu2021_N30_013	Yu2021_N30_018	Yu2021_N30_030	Yu2021_N30_035	Yu2021_Gln_glc1	Yu2021_Gln_glc2	Yu2021_Gln_N30	Yu2021_Phe_std	Yu2021_Phe_N30	Yu2021_Ile_std	Yu2021_Ile_N30
P00401	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.88655049546621e-06	2.45878463246636e-06	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P03876	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.76954139593584e-08	8.37058975604581e-08	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P03878	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.72351808747295e-08	1.85489863134495e-07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P02381	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.24573751719967e-08	1.40139922532182e-07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P00410	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.62862385690797e-06	2.53075731281633e-05	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P00420	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.99354770671937e-08	3.71390914428676e-07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P03871	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.5430319609421e-07	2.79575850308751e-07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q06891	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.06686632534523e-07	2.66356939806482e-07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P03872	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.8951230704362e-07	1.15651267342632e-07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P34111	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.31141172566688e-08	2.86141445501932e-08	1.71819327594795e-08	2.09676440150913e-08	1.5238470968117e-08	2.44732703790444e-08	1.456185862e-08	1.866881445e-08	1.187971514e-08	1.516532425e-08	1.555068651e-08	1.785941479e-08	1.82760703e-08	3.085720836e-08	2.601162767e-08	1.863664073e-08	2.552292796e-08	2.349014906e-08	2.408305679e-08	1.996493187e-08
