GENENAME,ID
Q0045,P00401
Q0055,P03876
Q0065,P03878
Q0140,P02381
Q0250,P00410
Q0275,P00420
R0020C,P03871
R0030W,Q06891
R0040C,P03872
YAL001C,P34111
YAL002W,P39702
YAL003W,P32471
YAL005C,P10591
YAL007C,P39704
YAL009W,P18410
YAL011W,P31376
YAL012W,P31373
YAL013W,P31385
YAL014C,P31377
YAL015C,P31378
YAL016W,P31383
YAL017W,P31374
YAL019W,P31380
YAL021C,P31384
YAL022C,P31381
YAL023C,P31382
YAL024C,P07866
YAL025C,P10962
YAL026C,P39524
YAL029C,P32492
YAL031C,P39732
YAL032C,P28004
YAL033W,P28005
YAL034W-A,P39731
YAL035W,P39730
YAL036C,P39729
YAL038W,P00549
YAL039C,P06182
YAL041W,P11433
YAL042W,P39727
YAL043C,Q01329
YAL044C,P39726
YAL044W-A,Q3E793
YAL047C,P39723
YAL048C,P39722
YAL049C,P39721
YAL051W,P39720
YAL053W,P39719
YAL054C,Q01574
YAL055W,P39718
YAL058W,P27825
YAL059W,P39715
YAL060W,P39714
YAL061W,P39713
YAL062W,P39708
YAR002C-A,Q05359
YAR002W,P39705
YAR007C,P22336
YAR008W,P39707
YAR014C,P27637
YAR015W,P27616
YAR018C,P22209
YAR019C,P27636
YAR028W,P39548
YAR035W,P80235
YAR042W,P35845
YBL004W,P35194
YBL005W,P33200
YBL007C,P32790
YBL008W,P32479
YBL010C,P32788
YBL011W,P32784
YBL013W,P32785
YBL015W,P32316
YBL016W,P16892
YBL017C,P32319
YBL019W,P38207
YBL020W,P38206
YBL021C,P13434
YBL022C,P36775
YBL023C,P29469
YBL024W,P38205
YBL026W,P38203
YBL028C,P38202
YBL029C-A,Q3E756
YBL029W,P38201
YBL030C,P18239
YBL032W,P38199
YBL033C,P38066
YBL034C,P38198
YBL035C,P38121
YBL036C,P38197
YBL037W,P38065
YBL038W,P38064
YBL039C,P28274
YBL040C,P18414
YBL041W,P23724
YBL042C,P38196
YBL045C,P07256
YBL046W,P38193
YBL047C,P34216
YBL049W,P38191
YBL050W,P32602
YBL052C,P34218
YBL054W,P34219
YBL055C,P34220
YBL056W,P34221
YBL057C,P34222
YBL058W,P34223
YBL059C-A,Q3E7A4
YBL059W,P34224
YBL061C,P34226
YBL063W,P28742
YBL064C,P34227
YBL066C,P34228
YBL067C,P38187
YBL068W,P38063
YBL069W,P35183
YBL071W-A,Q3E840
YBL072C,P0CX39
YBL075C,P09435
YBL076C,P09436
YBL078C,P38182
YBL079W,P38181
YBL080C,P33893
YBL082C,P38179
YBL084C,P38042
YBL085W,P38041
YBL086C,P38177
YBL087C,P0CX41
YBL089W,P38176
YBL090W,P38175
YBL091C,P38174
YBL092W,P38061
YBL095W,P38172
YBL097W,P38170
YBL098W,P38169
YBL099W,P07251
YBL101C,P38167
YBL102W,P38166
YBL104C,P38164
YBL105C,P24583
YBL107C,P38162
YBR001C,P35172
YBR002C,P35196
YBR003W,P18900
YBR006W,P38067
YBR009C,P02309
YBR010W,P61830
YBR011C,P00817
YBR014C,P38068
YBR015C,P38069
YBR017C,P38217
YBR021W,P05316
YBR022W,P38218
YBR023C,P29465
YBR024W,P38072
YBR025C,P38219
YBR026C,P38071
YBR028C,P38070
YBR029C,P38221
YBR031W,P10664
YBR034C,P38074
YBR035C,P38075
YBR036C,P35206
YBR037C,P23833
YBR038W,P14180
YBR039W,P38077
YBR041W,P38225
YBR042C,P38226
YBR043C,P38227
YBR044C,P38228
YBR046C,P38230
YBR049C,P21538
YBR052C,P38234
YBR053C,P38235
YBR054W,P38079
YBR055C,P19735
YBR056W,P38081
YBR057C,P38236
YBR058C,P38237
YBR059C,P38080
YBR060C,P32833
YBR061C,P38238
YBR065C,P38241
YBR068C,P38084
YBR070C,P38242
YBR072W,P15992
YBR073W,P38086
YBR074W,P38244
YBR078W,P38248
YBR079C,P38249
YBR080C,P18759
YBR081C,P35177
YBR082C,P15731
YBR084C-A,P0CX82
YBR084W,P09440
