ConditionID	Ptot
Lahtvee2017_REF	0.46
Lahtvee2017_EtOH20	0.45
Lahtvee2017_EtOH40	0.55
Lahtvee2017_EtOH60	0.52
Lahtvee2017_Osmo02	0.67
Lahtvee2017_Osmo04	0.62
Lahtvee2017_Osmo06	0.64
Lahtvee2017_Temp33	0.51
Lahtvee2017_Temp36	0.52
Lahtvee2017_Temp38	0.6
Yu2020_Clim	0.477
Yu2020_CN30	0.3665
Yu2020_CN50	0.2635
Yu2020_CN115	0.2635
DiBartolomeo2020_Gluc	NaN
DiBartolomeo2020_Etoh	NaN
Yu2021_N30_005	0.261477107133333
Yu2021_std_010	0.3580244524
Yu2021_N30_010	0.225573166666667
Yu2021_N30_013	0.275686440466667
Yu2021_N30_018	0.286470309533333
Yu2021_N30_030	0.414481178566667
Yu2021_N30_035	0.494313637166667
Yu2021_Gln_glc1	0.558604416666667
Yu2021_Gln_glc2	0.387711809333333
Yu2021_Gln_N30	0.306769357133333
Yu2021_Phe_std	0.465863142866667
Yu2021_Phe_N30	0.398495678566667
Yu2021_Ile_std	0.357009499966667
Yu2021_Ile_N30	0.437317607
