Row	GLC_CHEM_mu=0.11_V	GLC_CHEM_mu=0.12_S	GLC_CHEM_mu=0.20_S	GLC_CHEM_mu=0.21_P	GLC_CHEM_mu=0.21_V	GLC_CHEM_mu=0.22_P	GLC_CHEM_mu=0.26_P	GAL_BATCH_mu=0.26_S	ACE_BATCH_mu=0.3_S	GLC_CHEM_mu=0.31_P	GLC_CHEM_mu=0.31_V	GLC_CHEM_mu=0.35_S	GLC_CHEM_mu=0.36_P	GLC_CHEM_mu=0.40_V	PYR_BATCH_mu=0.40_S	GLC_CHEM_mu=0.41_P	FUM_BATCH_mu=0.42_S	SUCC_BATCH_mu=0.44_S	GLC_CHEM_mu=0.46_P	GAM_BATCH_mu=0.46_S	GLYC_BATCH_mu=0.47_S	MAN_BATCH_mu=0.47_S	GLC_CHEM_mu=0.49_V	GLC_CHEM_mu=0.50_S	GLC_CHEM_mu=0.51_P	GLC+SALTS_BATCH_mu=0.55_S	XYL_BATCH_mu=0.55_S	GLC_BATCH_mu=0.58_S	GLC@pH6_BATCH_mu=0.63_S	FRU_BATCH_mu=0.65_S	GLC@42deg_BATCH_mu=0.66_S
P00561	6.46060342876257e-06	3.87840449364654e-06	4.94673189823456e-06	1.34798774183335e-05	8.46447135155848e-06	1.35861572380441e-05	1.5760580333631e-05	4.72084407335872e-06	4.61295086904764e-06	1.75558267168706e-05	1.00798738055553e-05	6.86653810247329e-06	2.02369664322365e-05	1.52144614268318e-05	2.049294229352e-05	2.28818626906317e-05	6.78087071067454e-06	7.44157040453359e-06	2.57982080503955e-05	1.00151469740713e-05	8.91916396148492e-06	8.36425958122768e-06	1.51800933031026e-05	1.48493183272562e-05	2.84365472950111e-05	1.15739400475424e-05	1.67791082380984e-05	1.01050845142617e-05	9.07220300762955e-06	1.63898659461855e-05	7.61894229145995e-06
P00547	7.72905388698619e-07	4.01018825235557e-07	4.25875978523465e-07	2.43070211671866e-06	1.00754457017659e-06	2.59878551359776e-06	2.79149330839369e-06	6.94270571508481e-07	8.32129089083786e-07	3.04767593282824e-06	1.20449455008326e-06	4.37023652398926e-07	3.90780622178399e-06	1.91218604661043e-06	1.69340752779638e-06	4.06901360459496e-06	8.98636435181832e-07	7.81100813347641e-07	4.26616012104508e-06	1.32435949385491e-06	8.42849300826945e-07	4.40866221802968e-07	1.95777538789695e-06	6.10772291434291e-07	5.05139099594761e-06	2.74397428612664e-06	2.11388209816986e-06	1.05261370848913e-06	1.4332431032655e-06	1.21075863056669e-06	9.84081226142312e-07
P00934	1.62659347993739e-05	7.92265100840159e-06	8.2813572606337e-06	2.25433584320052e-05	2.03778317227396e-05	2.2461569323447e-05	2.44363635290662e-05	1.06459830131816e-05	1.22540333857905e-05	2.6525213800405e-05	1.95102252961809e-05	1.06795086670924e-05	2.9288705711609e-05	2.4830591999168e-05	3.95234630550953e-05	3.12979956279376e-05	1.75672814409566e-05	1.97318208410649e-05	3.47640687687654e-05	1.73101867674017e-05	2.11744443923149e-05	1.74249276858456e-05	2.79501407994526e-05	1.64034757585519e-05	3.86949758634964e-05	3.16024345646433e-05	3.06148224132715e-05	2.58835529821221e-05	1.63897200845558e-05	2.4660838954022e-05	1.25890092414389e-05
P0A8I3	2.94619860080105e-07	4.84204674533198e-07	7.0190670534423e-07	8.92670265477091e-07	3.65368881988325e-07	NaN	1.10442324733955e-06	8.80793742235146e-07	9.44056850875626e-07	NaN	4.23437424863208e-07	7.66426770938531e-07	NaN	4.35312794116651e-07	1.14706003116004e-06	NaN	1.02806020959251e-06	1.04876860935711e-06	NaN	1.43400576612154e-06	1.14200171549178e-06	1.24050567719855e-06	4.96853372917328e-07	8.6330440176362e-07	1.04946761282717e-06	9.6522995520583e-07	1.33034291184073e-06	1.42350638063987e-06	9.28435149549293e-07	1.42017897217394e-06	1.13725133548422e-06
P0A870	3.15717761862238e-05	9.99586165937833e-06	1.18031803236585e-05	7.88925583154719e-05	3.55712596565717e-05	7.62100252865503e-05	8.11452188993796e-05	1.75817214320943e-05	1.47065334188443e-05	7.96601001972139e-05	3.60174414327169e-05	1.45756529425668e-05	8.08765499393449e-05	3.75404072201096e-05	2.25864289986904e-05	8.16601897885651e-05	1.91927552952955e-05	1.87505542895618e-05	8.19384749776799e-05	1.88769818707892e-05	2.15317309175072e-05	1.73815844178654e-05	3.83221184970258e-05	1.86485610437086e-05	8.4816778552263e-05	2.448734902728e-05	2.40997636964124e-05	1.88326233602305e-05	2.26821991426515e-05	2.12693820053537e-05	3.28046775354412e-05
P0AF03	9.73931236866001e-07	5.41860068968399e-08	5.92945934651792e-08	NaN	8.58096067283695e-07	4.80860592728813e-07	4.54264687032387e-07	NaN	1.053424888639e-07	NaN	8.3655938067152e-07	5.64834829957162e-08	NaN	6.52944031494354e-07	9.74786666007139e-08	NaN	1.3477268288931e-07	NaN	NaN	1.22552612249669e-07	8.31413082362536e-08	NaN	6.05492873841828e-07	6.31704397468256e-08	3.65967394342493e-07	NaN	NaN	8.36116428547898e-08	NaN	NaN	NaN
P0A6Y8	4.0680385681059e-05	2.5440303754192e-05	2.54028586117088e-05	6.29719888502574e-05	3.58397637681664e-05	6.35976517093881e-05	6.17608038900733e-05	2.5114894113299e-05	3.10105752892677e-05	5.99584378327215e-05	3.51007233095846e-05	2.78088901591623e-05	5.97086027107563e-05	3.38974364241712e-05	2.66465171077198e-05	5.84306485029463e-05	3.3378219066797e-05	3.83562451658356e-05	6.11731172853468e-05	3.34918946383994e-05	3.37353387012421e-05	3.44931406574221e-05	3.40168442684018e-05	2.89797993259395e-05	6.13383123216857e-05	3.73523684564025e-05	3.32880610238438e-05	3.29650285824586e-05	5.8625645181837e-05	3.1858241589817e-05	7.59600983357248e-05
P08622	2.39847235366665e-06	9.6989244602936e-07	1.09064796295009e-06	2.66092615737109e-06	2.48562548734021e-06	2.73527815911463e-06	2.82087318055632e-06	9.68818470998487e-07	1.08114429328917e-06	2.70339690377051e-06	2.45417588656309e-06	1.21955261893535e-06	2.80566953933092e-06	2.06938373113481e-06	1.185463767661e-06	2.59029429967144e-06	1.49858585876259e-06	1.16549782526476e-06	2.8576855593714e-06	1.38314864071218e-06	1.4133831796522e-06	1.12202645390728e-06	1.85658315243647e-06	1.24758344935587e-06	2.80706529175439e-06	1.19714990725919e-06	1.39458576658948e-06	1.2197129676041e-06	1.44545370594265e-06	1.02877594066447e-06	3.03621622321332e-06
P0A7U7	5.5556449403529e-05	2.12977226140176e-05	2.24775377074236e-05	6.22866420144653e-05	6.1033913152318e-05	6.39087382140755e-05	6.80641171974693e-05	2.52217715258224e-05	2.37720039065058e-05	7.66019194205221e-05	6.39796085595066e-05	2.53518796152491e-05	8.19292889717043e-05	7.62795725831208e-05	3.20609206329986e-05	9.07205865229864e-05	3.61793830047387e-05	3.53522573141182e-05	0.000101627688553769	3.83059786579363e-05	4.01735675497864e-05	3.30653669028688e-05	8.57323161894996e-05	3.56238443243751e-05	0.000105839552014407	4.85122288570677e-05	3.99742055689305e-05	5.1103599119229e-05	4.33164174565401e-05	4.58917334479382e-05	5.11552367535577e-05
P0AG40	NaN	2.33137545802972e-07	3.0791578360865e-07	NaN	NaN	3.58876653695897e-06	NaN	2.60636076087419e-07	2.18101614015414e-07	NaN	NaN	2.38052511482317e-07	NaN	NaN	2.83740814179282e-07	NaN	2.58590008783502e-07	2.26105563912687e-07	3.26041185337653e-06	2.80847335672608e-07	2.94006116355849e-07	2.14676880941065e-07	NaN	3.3751384197571e-07	3.26852800799576e-06	1.90420005737568e-07	2.69614383952538e-07	2.8343620486291e-07	2.587067773961e-07	2.88775334270821e-07	3.01173197025932e-07
