GENENAME,ID
b0002,P00561
b0003,P00547
b0004,P00934
b0006,P0A8I3
b0008,P0A870
b0009,P0AF03
b0014,P0A6Y8
b0015,P08622
b0023,P0A7U7
b0025,P0AG40
b0026,P00956
b0028,P0AEM0
b0029,P62623
b0030,P22564
b0031,P04036
b0032,P0A6F1
b0033,P00968
b0036,P31551
b0046,P0A754
b0047,P03819
b0048,P0ABQ4
b0049,P05637
b0050,P62672
b0051,P06992
b0052,P19624
b0053,P0ABZ6
b0054,P31554
b0055,P31680
b0058,P0AA37
b0059,P60240
b0062,P08202
b0068,P31550
b0071,P30126
b0072,P0A6A6
b0073,P30125
b0074,P09151
b0077,P00893
b0078,P00894
b0080,P0ACP1
b0081,P22186
b0082,P60390
b0083,P0AEN4
b0084,P0AD68
b0085,P22188
b0086,P11880
b0087,P0A6W3
b0088,P14900
b0090,P17443
b0091,P17952
b0092,P07862
b0094,P0ABH0
b0095,P0A9A6
b0096,P0A725
b0098,P10408
b0099,P08337
b0101,P0A8H8
b0102,P36680
b0103,P0A6I9
b0104,P60560
b0109,P30011
b0110,P13016
b0111,P0AE14
b0112,P15993
b0113,P0ACL9
b0114,P0AFG8
b0115,P06959
b0116,P0A9P0
b0118,P36683
b0119,P0A8E5
b0120,P0A7F6
b0121,P09158
b0122,P0AA95
b0123,P36649
b0124,P15877
b0125,P0A9M2
b0126,P61517
b0127,P36879
b0131,P0A790
b0133,P31663
b0134,P31057
b0142,P26281
b0143,P0ABF1
b0144,P27305
b0145,P0ABS1
b0146,P0A823
b0148,P37024
b0149,A0A7H2C765
b0150,P06971
b0151,P07821
b0152,P07822
b0154,P23893
b0156,P0ACC3
b0158,P37028
b0159,P0AF12
b0160,P15723
b0161,P0C0V0
b0162,P37047
b0163,P62768
b0166,P0A9D8
b0167,P27249
b0168,P0AE18
b0169,P0A7V0
b0170,P0A6P1
b0171,P0A7E9
b0172,P0A805
b0173,P45568
b0174,P60472
b0175,P0ABG1
b0176,P0AEH1
b0177,P0A940
b0178,P0AEU7
b0179,P21645
b0180,P0A6Q6
b0181,P0A722
b0182,P10441
b0183,P10442
b0184,P10443
b0185,P0ABD5
b0186,P52095
b0187,P52096
b0188,P52097
b0189,P0AFW8
b0190,P0AA97
b0192,P40710
b0194,P16659
b0195,P28634
b0196,P69411
b0197,P28635
b0198,P31547
b0199,P30750
b0200,P63228
b0207,P30863
b0208,P30864
b0209,P0A8U2
b0212,P0AC84
b0214,P0A7Y4
b0215,P03007
b0219,Q47679
b0220,P0AD59
b0221,Q47146
b0222,P63224
b0223,Q47147
b0224,P0AA99
b0226,Q47150
b0232,Q47156
b0237,P15288
b0238,P0A9M5
b0239,P04335
b0240,P24251
b0242,P0A7B5
b0243,P07004
b0256,P0CF88
b0259,P0CE49
b0260,Q47689
b0261,Q47690
b0268,P75682
b0271,P77713
b0272,P77300
b0273,P06960
b0281,P71298
b0287,P0AAA1
b0296,P0A7N1
b0304,P77212
b0306,P77252
b0308,P77433
b0312,P17445
b0315,P21514
b0321,P77221
b0324,P77554
b0325,P75691
b0329,P75694
b0331,P77541
b0333,P31660
b0334,P77243
b0336,P0AA82
b0337,P25524
b0345,P03023
b0346,P77569
b0350,P77608
b0351,P77580
b0352,P51020
b0354,P51024
b0355,P51025
b0356,P25437
b0357,P0AAP3
b0360,P0CF40
b0365,Q47537
b0368,P37610
b0369,P0ACB2
b0376,P0AD70
b0377,P0AFY6
b0378,P77562
b0381,P0A6J8
b0382,P0AAN9
b0384,P0AFM4
b0386,P0A9L8
b0387,P0A8D3
b0388,P0A6E1
b0389,P0AAN5
b0390,P0AE28
b0391,P0C037
b0393,P36767
b0394,P23917
b0397,P13458
b0398,P0AG76
b0399,P0AFJ5
b0403,P21517
b0404,P21515
b0405,P0A7F9
b0406,P0A847
b0407,P0ADZ7
b0408,P0AG90
b0409,P0AG93
b0410,P0AAQ2
b0411,P0A927
b0412,P46122
b0413,P0A8D0
b0414,P25539
b0415,P61714
b0416,P0A780
b0417,P0AGG0
b0419,P77735
