Var1,out_tab1,out_tab2,out_tab3,out_tab4,out_tab5,out_tab6,out_tab7,out_tab8,out_tab9,out_tab10,out_tab11,out_tab12,out_tab13,out_tab14,out_tab15,out_tab16,out_tab17,out_tab18,out_tab19,out_tab20
ALATA_D2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHCHD2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPPPGO,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTHOr,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHORD5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLYCTO2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLYCTO3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLYCTO4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PFK_3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRPS2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G3PD5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_acgam_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_cellb_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_chol_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEUTAi,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHK3Dr,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5SD,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALATA_L2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAN6PI,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APRAUR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB4PS,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBFK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACP1_FMN,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBFSb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_pi_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_h_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMATT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRTT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPP3S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPPDC1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMDPP,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
