Var1,out_tab1,out_tab2,out_tab3,out_tab4,out_tab5,out_tab6,out_tab7,out_tab8,out_tab9,out_tab10,out_tab11,out_tab12,out_tab13,out_tab14,out_tab15,out_tab16,out_tab17,out_tab18,out_tab19,out_tab20
r_0001,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0002,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0003,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0004,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0005,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0007,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0013,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0014,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0015,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0016,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0017,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0018,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0019,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0020,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0022,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0023,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0024,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0026,2,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0027,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0028,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0029,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0030,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0032,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0033,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0034,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0035,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0036,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0037,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0038,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0039,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0040,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0041,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0042,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0043,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0044,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0045,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0057,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0058,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0059,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0060,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0061,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0062,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0063,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0064,5,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0065,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0066,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0067,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0068,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0069,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0072,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0073,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0074,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0075,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0076,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0077,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0078,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0079,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0080,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0081,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0082,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0083,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0084,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0085,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0086,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0087,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0088,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0089,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0090,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0091,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0092,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0093,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0095,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0097,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0100,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0101,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0102,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0103,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0104,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0105,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0106,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0107,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0108,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0109,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0111,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0112,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0113,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0114,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0116,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0117,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0118,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0119,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0120,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0121,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0122,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0123,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0124,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0125,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0126,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0127,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0128,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0129,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0130,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0131,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0132,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0133,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0134,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0135,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0137,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0138,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0139,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0140,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0143,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0144,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0145,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0146,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0147,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0148,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_0149,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
